Name,Id,NFLTeam,MFLTeam,MFLTeamID,Roster,ContractYear,Salary,Position,ByeWeek,PreviousScores,ProjectedScores,Age,Weight,Height,College,DraftRound,DraftPick,DraftYear,Twitter,ADP,FantasyProsRanking
"Buccaneers, Tampa Bay",525,TBB,,0,False,,4.91,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Falcons, Atlanta",526,ATL,,0,False,,5.74,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Panthers, Carolina",527,CAR,,0,False,,5.54,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Rams, Los Angeles",528,LAR,,0,False,,7.98,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Saints, New Orleans",529,NOS,,0,False,,6.68,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"49ers, San Francisco",530,SFO,,0,False,,5.02,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Ravens, Baltimore",531,BAL,,0,False,,7.6,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Texans, Houston",532,HOU,,0,False,,6.86,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Vinatieri, Adam",2842,FA,,0,False,,5.19,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Nix, Roosevelt",4397,IND,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Brees, Drew",4925,NOS,,0,False,,15.32,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Brady, Tom",5848,TBB,,0,False,,13.45,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"McCown, Josh",6589,FA,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Bryant, Matt",6789,FA,,0,False,,3.29,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Witten, Jason",6997,LVR,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Manning, Eli",7391,FA,,0,False,,7.23,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Fitzgerald, Larry",7393,ARI,,0,False,,5.32,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Rivers, Philip",7394,IND,,0,False,,11.4,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Roethlisberger, Ben",7401,PIT,,0,False,,14.6,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Watson, Ben",7422,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Schaub, Matt",7480,ATL,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Smith, Alex",7813,WAS,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Rodgers, Aaron",7836,GBP,,0,False,2020,23,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Nugent, Mike",7859,FA,,0,False,,2.39,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Gore, Frank",7877,NYJ,,0,False,,2.3,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Sproles, Darren",7942,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Fitzpatrick, Ryan",8062,MIA,,0,False,,6.29,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Gould, Robbie",8153,SFO,,0,False,,5.13,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Davis, Vernon",8247,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Lewis, Marcedes",8269,GBP,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Gostkowski, Stephen",8359,FA,,0,False,,5.64,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Walker, Delanie",8416,FA,,0,False,,3.74,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Peterson, Adrian",8658,WAS,,0,False,,4.01,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Lynch, Marshawn",8670,FA,,0,False,,5.84,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Ginn Jr., Ted",8673,CHI,,0,False,,3.39,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Olsen, Greg",8687,SEA,,0,False,,2.75,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Stanton, Drew",8712,FA,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Crosby, Mason",8742,GBP,,0,False,,5.37,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Folk, Nick",8851,FA,,0,False,,4.42,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Prater, Matt",8930,DET,,0,False,,5.07,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Moore, Matt",8944,KCC,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Flacco, Joe",9064,NYJ,,0,False,,6.5,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Henne, Chad",9073,KCC,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Jackson, DeSean",9075,PHI,,0,False,,4.33,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Ryan, Matt",9099,ATL,,0,False,,17.05,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Slater, Matt",9200,NEP,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Garcon, Pierre",9250,FA,,0,False,,5.28,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Amendola, Danny",9308,DET,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Hauschka, Steven",9319,BUF,,0,False,,4.33,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Crabtree, Michael",9427,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Stafford, Matthew",9431,DET,,0,False,,8.74,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Harvin, Percy",9441,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"McCoy, LeSean",9448,FA,,0,False,,4.32,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Cook, Jared",9474,NOS,,0,False,,5.52,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Wallace, Mike",9525,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Edelman, Julian",9662,NEP,,0,False,,7.8,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Succop, Ryan",9686,FA,,0,False,,4.63,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Gano, Graham",9694,CAR,,0,False,,4.96,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Daniel, Chase",9706,DET,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Hoyer, Brian",9714,NEP,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Bradford, Sam",9817,FA,,0,False,,6.5,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Bryant, Dez",9823,FA,,0,False,,3.43,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Tate, Golden",9831,NYG,,0,False,,3.86,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"LaFell, Brandon",9843,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Thomas, Demaryius",9884,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Blount, LeGarrette",9898,FA,,0,False,,3.05,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"McCoy, Colt",9899,NYG,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Gronkowski, Rob",9902,TBB,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Dickson, Ed",9912,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Sanders, Emmanuel",9918,NOS,,0,False,,4.65,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Roberts, Andre",9921,BUF,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Graham, Jimmy",9925,CHI,,0,False,,3.05,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Brown, Antonio",9988,FA*,,0,False,,9.51,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Webb, Joe",9992,FA,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Ivory, Chris",10077,FA,,0,False,,2.27,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Green, A.J.",10261,CIN,,0,False,2019,21,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Gabbert, Blaine",10262,TBB,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Jones, Julio",10271,ATL,,0,False,2019,24,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Newton, Cam",10273,NEP,,0,False,,16.04,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Ingram, Mark",10276,BAL,,0,False,,6.97,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Kaepernick, Colin",10297,FA*,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Rodgers, Jacquizz",10300,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Cobb, Randall",10308,HOU,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Rudolph, Kyle",10312,MIN,,0,False,,3.51,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Dalton, Andy",10313,DAL,,0,False,,7.85,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Kendricks, Lance",10318,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Stocker, Luke",10354,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Jones, Taiwan",10368,BUF,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Powell, Bilal",10369,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Sherman, Anthony",10378,KCC,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Lewis, Dion",10389,NYG,,0,False,,3.56,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Smith, Lee",10398,BUF,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Clay, Charles",10409,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Harris, Dwayne",10410,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Robinson, Aldrick",10412,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Taylor, Tyrod",10413,LAC,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Green, Virgil",10432,LAC,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Forbath, Kai",10487,DAL,,0,False,,4.11,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Pryor, Terrelle",10500,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Bailey, Dan",10506,MIN,,0,False,,4.8,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Bellore, Nick",10514,SEA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Luck, Andrew",10695,FA,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Griffin III, Robert",10696,BAL,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Tannehill, Ryan",10697,TEN,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Foles, Nick",10699,CHI,,0,False,,7.07,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Cousins, Kirk",10700,MIN,,0,False,,11.06,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Wilson, Russell",10703,SEA,,0,False,,14.38,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Miller, Lamar",10708,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Martin, Doug",10709,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Turbin, Robert",10714,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Floyd, Michael",10721,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Jeffery, Alshon",10722,PHI,,0,False,,6.38,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Sanu, Mohamed",10723,NEP,,0,False,,3.68,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Hilton, T.Y.",10729,IND,,0,False,,7.76,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Wright, Jarius",10734,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Benjamin, Travis",10737,SFO,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Jones, Marvin",10738,DET,,0,False,,5.17,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Allen, Dwayne",10742,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Ellison, Rhett",10838,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Bullock, Randy",10862,CIN,,0,False,,2.39,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Zuerlein, Greg",10868,DAL,,0,False,,6.46,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Morris, Alfred",10870,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Bolden, Brandon",10932,NEP,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Tanney, Alex",10935,NYG,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Carrier, Derek",10940,LVR,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Keenum, Case",10948,CLE,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Thompson, Deonte",10956,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Gordon, Josh",10960,FA,,0,False,,6.04,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Beasley, Cole",10973,BUF,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Tucker, Justin",10976,BAL,,0,False,,5.9,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Hogan, Chris",10983,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Olawale, Jamize",10985,DAL,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Celek, Garrett",11007,FA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Brinkley, Beau",11065,TEN,,0,False,,0,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Kearse, Jermaine",11076,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"DiMarco, Patrick",11100,BUF,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Develin, James",11101,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Bellamy, Josh",11104,NYJ,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Smith, Geno",11150,SEA,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Barkley, Matt",11151,BUF,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Glennon, Mike",11152,JAC,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Ellington, Andre",11175,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Barner, Kenjon",11177,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Burkhead, Rex",11182,NEP,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Thompson, Chris",11186,JAC,,0,False,,2.27,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Riddick, Theo",11188,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Bell, Le'Veon",11192,NYJ,,0,False,2019,32,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Bernard, Giovani",11193,CIN,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Ware, Spencer",11199,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Williams, Terrance",11211,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Hunter, Justin",11212,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Austin, Tavon",11213,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Allen, Keenan",11222,LAC,,0,False,2020,14,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Patterson, Cordarrelle",11225,CHI,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Stills, Kenny",11227,HOU,,0,False,,3.84,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Woods, Robert",11228,LAR,,0,False,,7.91,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Hopkins, DeAndre",11232,ARI,,0,False,2020,24,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Shepard, Russell",11237,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Goodwin, Marquise",11239,PHI,,0,False,,4.01,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Kelce, Travis",11244,KCC,,0,False,2020,14,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Ertz, Zach",11247,PHI,,0,False,2021,13,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Reed, Jordan",11248,FA,,0,False,,3.23,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Eifert, Tyler",11250,JAC,,0,False,,2.05,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Toilolo, Levine",11252,NYG,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"McDonald, Vance",11257,PIT,,0,False,,4.96,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Fells, Darren",11337,HOU,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Tavecchio, Giorgio",11339,FA,,0,False,,4.86,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Juszczyk, Kyle",11367,SFO,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Willson, Luke",11381,SEA,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Hopkins, Dustin",11387,WAS,,0,False,,3.83,Kicker,0,0,0,0,0,0,,0,0,0,,0,0
"Murray, Latavius",11390,NOS,,0,False,,5.37,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Griffin, Ryan",11399,NYJ,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Butler, Brice",11406,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Griffin, Ryan",11441,TBB,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Harris, Demetrius",11448,CHI,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Anderson, C.J.",11454,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Brown, Jaron",11456,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Line, Zach",11474,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Doyle, Jack",11516,IND,,0,False,,2.99,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Hill, Josh",11529,NOS,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Bridgewater, Teddy",11640,CAR,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Bortles, Blake",11642,FA,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"McCarron, A.J.",11643,HOU,,0,False,,5.93,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Carr, Derek",11644,LVR,,0,False,,10.51,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"Thomas, Logan",11647,WAS,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Hill, Jeremy",11654,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Hyde, Carlos",11657,SEA,,0,False,,3.14,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Thomas, De'Anthony",11659,BAL,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Freeman, Devonta",11660,FA*,,0,False,2020,14,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Crowell, Isaiah",11668,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Watkins, Sammy",11670,KCC,,0,False,,5.19,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Evans, Mike",11671,TBB,,0,False,2020,17,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Lee, Marqise",11672,NEP,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Benjamin, Kelvin",11673,FA,,0,False,,4.57,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Cooks, Brandin",11674,HOU,,0,False,,8.04,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Adams, Davante",11675,GBP,,0,False,2020,21,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Matthews, Jordan",11676,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Moncrief, Donte",11677,FA,,0,False,,4.92,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Robinson, Allen",11678,CHI,,0,False,,7.23,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Beckham, Odell",11679,CLE,,0,False,2020,25,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Landry, Jarvis",11680,CLE,,0,False,,5.74,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Richardson, Paul",11681,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Jones, T.J.",11686,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Bryant, Martavis",11688,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Ellington, Bruce",11689,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Ebron, Eric",11695,PIT,,0,False,,3.63,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Seferian-Jenkins, Austin",11697,FA,,0,False,,2.99,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Grimble, Xavier",11701,IND,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Burton, Trey",11705,IND,,0,False,,4.07,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"White, James",11747,NEP,,0,False,,5.59,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Latimer, Cody",11758,WAS,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Garoppolo, Jimmy",11760,SFO,,0,False,,9.3,Quarterback,0,0,0,0,0,0,,0,0,0,,0,0
"McKinnon, Jerick",11761,SFO,,0,False,,3.5,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
"Brown, John",11783,BUF,,0,False,,3.9,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Rodgers, Richard",11785,WAS,,0,False,,1.72,Tight End,0,0,0,0,0,0,,0,0,0,,0,0
"Grant, Ryan",11812,FA,,0,False,,3.35,Wide Receiver,0,0,0,0,0,0,,0,0,0,,0,0
"Blue, Alfred",11834,FA,,0,False,,2.06,Running Back,0,0,0,0,0,0,,0,0,0,,0,0
